iteracion,subset,f1_score
214,"['SFH', 'RightClick', 'Iframe', 'Links_in_tags', 'web_traffic']",0.7207678883071553
349,"['Domain_registeration_length', 'URL_Length', 'Iframe', 'HTTPS_token', 'having_Sub_Domain']",0.718299164768413
462,"['double_slash_redirecting', 'Shortining_Service', 'Favicon', 'Google_Index', 'web_traffic']",0.7178571428571429
26,"['port', 'Request_URL', 'Domain_registeration_length', 'Shortining_Service', 'having_Sub_Domain']",0.7168176447420245
235,"['DNSRecord', 'Submitting_to_email', 'Request_URL', 'Links_in_tags', 'Statistical_report']",0.7168011738811445
345,"['Request_URL', 'Links_in_tags', 'HTTPS_token', 'popUpWidnow', 'age_of_domain']",0.7159046502540055
211,"['Links_pointing_to_page', 'Domain_registeration_length', 'Abnormal_URL', 'having_IP_Address', 'Submitting_to_email']",0.7157360406091371
195,"['Iframe', 'DNSRecord', 'Favicon', 'Google_Index', 'popUpWidnow']",0.7140127388535031
118,"['web_traffic', 'Iframe', 'having_At_Symbol', 'Request_URL', 'Google_Index']",0.7133550488599348
230,"['Domain_registeration_length', 'Google_Index', 'SFH', 'having_At_Symbol', 'Page_Rank']",0.7130166087292391
317,"['Favicon', 'having_IP_Address', 'Page_Rank', 'popUpWidnow', 'Request_URL']",0.7129455909943715
139,"['Redirect', 'Favicon', 'Request_URL', 'Abnormal_URL', 'Page_Rank']",0.7129428778018799
173,"['age_of_domain', 'Abnormal_URL', 'web_traffic', 'on_mouseover', 'Links_pointing_to_page']",0.7127496159754224
29,"['Statistical_report', 'RightClick', 'Links_in_tags', 'double_slash_redirecting', 'Domain_registeration_length']",0.7125748502994012
489,"['Links_in_tags', 'on_mouseover', 'having_IP_Address', 'Links_pointing_to_page', 'Shortining_Service']",0.7123824451410659
310,"['Domain_registeration_length', 'Links_in_tags', 'popUpWidnow', 'having_IP_Address', 'Links_pointing_to_page']",0.7116704805491991
122,"['popUpWidnow', 'having_Sub_Domain', 'Request_URL', 'port', 'Domain_registeration_length']",0.7115924588848777
123,"['Google_Index', 'Shortining_Service', 'DNSRecord', 'Domain_registeration_length', 'HTTPS_token']",0.7111777944486122
490,"['having_IP_Address', 'Domain_registeration_length', 'having_Sub_Domain', 'Page_Rank', 'double_slash_redirecting']",0.7111650485436893
53,"['Request_URL', 'popUpWidnow', 'RightClick', 'HTTPS_token', 'Links_in_tags']",0.7109634551495017
129,"['Request_URL', 'Links_pointing_to_page', 'Redirect', 'having_Sub_Domain', 'Domain_registeration_length']",0.7108816521048451
226,"['Domain_registeration_length', 'URL_Length', 'Abnormal_URL', 'Favicon', 'Iframe']",0.7099536211202283
440,"['age_of_domain', 'Links_pointing_to_page', 'URL_Length', 'Links_in_tags', 'Statistical_report']",0.7098925527973323
46,"['Statistical_report', 'HTTPS_token', 'Links_pointing_to_page', 'Page_Rank', 'web_traffic']",0.7083495145631068
196,"['on_mouseover', 'web_traffic', 'having_At_Symbol', 'Redirect', 'URL_Length']",0.7074780058651027
281,"['port', 'Statistical_report', 'web_traffic', 'Submitting_to_email', 'Domain_registeration_length']",0.7073651043717999
159,"['Page_Rank', 'Statistical_report', 'Abnormal_URL', 'Links_in_tags', 'Links_pointing_to_page']",0.7072992700729926
265,"['Submitting_to_email', 'Page_Rank', 'having_IP_Address', 'popUpWidnow', 'Google_Index']",0.7071968452185343
120,"['Page_Rank', 'Statistical_report', 'Links_in_tags', 'HTTPS_token', 'Favicon']",0.7071742313323572
353,"['having_At_Symbol', 'Google_Index', 'Page_Rank', 'Links_in_tags', 'Shortining_Service']",0.7069030554507733
202,"['RightClick', 'Domain_registeration_length', 'on_mouseover', 'web_traffic', 'Statistical_report']",0.7065302911093627
73,"['SFH', 'having_Sub_Domain', 'Google_Index', 'Request_URL', 'Links_pointing_to_page']",0.7061708214139762
467,"['Iframe', 'DNSRecord', 'on_mouseover', 'web_traffic', 'Links_pointing_to_page']",0.7061011904761905
40,"['age_of_domain', 'Links_pointing_to_page', 'Domain_registeration_length', 'Submitting_to_email', 'DNSRecord']",0.7058823529411765
231,"['Shortining_Service', 'Request_URL', 'SFH', 'Redirect', 'RightClick']",0.7048864948056945
335,"['web_traffic', 'Request_URL', 'having_IP_Address', 'Domain_registeration_length', 'Abnormal_URL']",0.7046379170056957
131,"['Statistical_report', 'web_traffic', 'Abnormal_URL', 'popUpWidnow', 'age_of_domain']",0.7045813586097947
295,"['web_traffic', 'Domain_registeration_length', 'port', 'on_mouseover', 'Iframe']",0.7045009784735812
238,"['having_At_Symbol', 'DNSRecord', 'having_Sub_Domain', 'RightClick', 'Domain_registeration_length']",0.7044470680834317
341,"['Shortining_Service', 'RightClick', 'Page_Rank', 'Links_in_tags', 'Statistical_report']",0.7043189368770764
486,"['RightClick', 'port', 'web_traffic', 'double_slash_redirecting', 'URL_Length']",0.7033356990773598
